sample_id,true_category,predicted_category,true_route,predicted_route,latency_ms
sample-0223,invoice,invoice,human_approval,human_approval,62.77275085449219
sample-0168,invoice,invoice,auto_approve,human_approval,19.669771194458008
sample-0254,service_request,service_request,human_approval,human_approval,19.160032272338867
sample-0263,service_request,service_request,human_approval,human_approval,23.781538009643555
sample-0268,service_request,service_request,human_approval,human_approval,16.811847686767578
sample-0002,unknown,unknown,reject,human_approval,18.21589469909668
sample-0057,invoice,invoice,human_approval,human_approval,20.471572875976562
sample-0122,invoice,invoice,human_approval,human_approval,18.952369689941406
sample-0196,service_request,service_request,human_approval,auto_approve,16.622543334960938
sample-0030,invoice,invoice,human_approval,human_approval,18.28908920288086
sample-0293,invoice,invoice,human_approval,human_approval,19.409894943237305
sample-0045,service_request,service_request,human_approval,human_approval,18.759727478027344
sample-0091,service_request,service_request,human_approval,human_approval,16.57414436340332
sample-0206,service_request,service_request,human_approval,auto_approve,18.61286163330078
sample-0101,service_request,service_request,auto_approve,auto_approve,18.762588500976562
sample-0219,service_request,service_request,human_approval,human_approval,18.791913986206055
sample-0238,service_request,service_request,human_approval,auto_approve,18.085956573486328
sample-0257,invoice,invoice,human_approval,human_approval,18.500089645385742
sample-0022,service_request,service_request,human_approval,human_approval,18.245458602905273
sample-0224,service_request,service_request,auto_approve,human_approval,15.612125396728516
sample-0283,invoice,invoice,human_approval,human_approval,24.106502532958984
sample-0121,invoice,invoice,human_approval,human_approval,17.84539222717285
sample-0084,service_request,service_request,human_approval,human_approval,20.439624786376953
sample-0286,invoice,invoice,human_approval,human_approval,19.899368286132812
sample-0040,invoice,invoice,auto_approve,human_approval,26.73482894897461
sample-0163,service_request,service_request,human_approval,auto_approve,19.852876663208008
sample-0063,unknown,unknown,reject,human_approval,26.220321655273438
sample-0207,service_request,service_request,human_approval,auto_approve,30.087709426879883
sample-0173,invoice,invoice,human_approval,human_approval,22.5369930267334
sample-0190,service_request,service_request,human_approval,human_approval,18.585920333862305
sample-0239,invoice,invoice,auto_approve,auto_approve,17.69423484802246
sample-0043,invoice,invoice,human_approval,human_approval,18.94211769104004
sample-0174,service_request,service_request,auto_approve,human_approval,20.9505558013916
sample-0099,service_request,service_request,auto_approve,auto_approve,19.547700881958008
sample-0295,service_request,service_request,human_approval,human_approval,18.639326095581055
sample-0204,service_request,service_request,human_approval,auto_approve,16.808748245239258
sample-0038,service_request,service_request,human_approval,human_approval,28.191804885864258
sample-0153,invoice,invoice,auto_approve,human_approval,17.73381233215332
sample-0171,invoice,invoice,human_approval,human_approval,19.345521926879883
sample-0133,service_request,service_request,auto_approve,human_approval,16.628026962280273
sample-0003,service_request,service_request,human_approval,human_approval,20.987749099731445
sample-0023,invoice,invoice,human_approval,human_approval,19.108295440673828
sample-0235,invoice,invoice,auto_approve,human_approval,19.439220428466797
sample-0117,service_request,service_request,human_approval,human_approval,17.30489730834961
sample-0255,invoice,invoice,human_approval,human_approval,21.509170532226562
